Frequency (Hz)	Level (dB)
10968.750000	-74.699127
11015.625000	-74.164093
11062.500000	-74.602982
11109.375000	-74.315834
11156.250000	-75.359802
11203.125000	-74.675522
11250.000000	-75.136482
11296.875000	-75.212814
11343.750000	-74.036880
11390.625000	-74.927612
11437.500000	-75.021431
11484.375000	-74.819321
11531.250000	-75.220291
11578.125000	-75.529274
11625.000000	-74.351494
11671.875000	-73.943916
11718.750000	-74.492691
11765.625000	-74.145485
11812.500000	-75.089172
11859.375000	-75.136703
11906.250000	-75.232796
11953.125000	-75.014427
12000.000000	-75.110390
12046.875000	-75.490082
12093.750000	-74.906601
12140.625000	-74.715088
12187.500000	-75.036209
12234.375000	-74.911896
12281.250000	-74.526176
12328.125000	-74.778168
12375.000000	-75.321098
12421.875000	-75.530365
12468.750000	-75.636421
12515.625000	-75.534645
12562.500000	-75.444809
12609.375000	-75.723335
12656.250000	-75.177902
12703.125000	-75.087654
12750.000000	-76.396385
12796.875000	-76.717628
12843.750000	-76.470406
12890.625000	-75.839050
12937.500000	-75.637253
12984.375000	-75.679016
13031.250000	-75.679962
13078.125000	-76.233574
13125.000000	-76.024666
13171.875000	-75.943680
13218.750000	-76.712257
13265.625000	-76.893997
13312.500000	-76.535408
13359.375000	-76.894447
13406.250000	-75.550110
13453.125000	-75.528969
13500.000000	-76.762474
13546.875000	-77.389931
13593.750000	-77.196655
13640.625000	-77.137291
13687.500000	-75.738815
13734.375000	-75.994278
13781.250000	-76.151649
13828.125000	-76.341614
13875.000000	-76.273758
13921.875000	-75.749138
13968.750000	-76.330826
14015.625000	-75.984924
14062.500000	-76.055061
14109.375000	-75.871574
14156.250000	-76.526970
14203.125000	-77.637619
14250.000000	-78.050018
14296.875000	-77.837883
14343.750000	-76.825470
14390.625000	-75.956924
14437.500000	-76.746490
14484.375000	-77.445190
14531.250000	-77.356102
14578.125000	-77.447411
14625.000000	-76.969482
14671.875000	-77.769066
14718.750000	-77.474167
14765.625000	-76.946701
14812.500000	-77.126534
14859.375000	-77.785141
14906.250000	-77.200134
14953.125000	-76.805046
15000.000000	-76.724655
15046.875000	-76.874733
15093.750000	-77.772026
15140.625000	-77.565643
15187.500000	-77.427116
15234.375000	-77.347534
15281.250000	-76.393234
15328.125000	-76.384956
15375.000000	-77.285393
15421.875000	-77.626099
15468.750000	-77.509262
15515.625000	-77.824883
15562.500000	-77.250481
15609.375000	-77.330063
15656.250000	-78.099991
15703.125000	-77.195152
