Frequency (Hz)	Level (dB)
21000.000000	-86.364975
21046.875000	-87.886459
21093.750000	-89.309875
21140.625000	-90.085678
21187.500000	-91.602592
21234.375000	-93.939789
21281.250000	-94.903198
21328.125000	-97.886597
21375.000000	-99.659851
21421.875000	-97.579750
21468.750000	-94.166588
21515.625000	-91.892021
21562.500000	-90.274788
21609.375000	-88.773026
21656.250000	-86.771996
21703.125000	-86.210045
21750.000000	-86.718353
21796.875000	-87.422234
21843.750000	-88.989166
21890.625000	-91.756081
21937.500000	-93.526405
21984.375000	-95.193710
22031.250000	-94.117676
22078.125000	-92.218086
22125.000000	-90.069351
22171.875000	-89.962212
22218.750000	-91.371353
22265.625000	-91.333153
22312.500000	-92.121124
22359.375000	-96.001190
22406.250000	-94.461288
22453.125000	-95.968468
22500.000000	-96.175774
22546.875000	-97.812889
22593.750000	-95.640511
22640.625000	-92.528214
22687.500000	-91.904106
22734.375000	-94.298630
22781.250000	-95.926094
22828.125000	-96.580032
22875.000000	-96.102890
22921.875000	-95.893196
22968.750000	-95.181061
23015.625000	-93.197342
23062.500000	-93.827538
23109.375000	-96.207405
23156.250000	-95.139061
23203.125000	-93.355858
23250.000000	-91.665054
23296.875000	-89.737907
23343.750000	-86.415985
23390.625000	-88.083725
23437.500000	-93.569206
23484.375000	-90.538193
23531.250000	-89.088615
23578.125000	-89.325294
23625.000000	-89.641434
23671.875000	-88.432678
23718.750000	-88.190254
23765.625000	-89.006699
23812.500000	-90.262016
23859.375000	-92.406219
23906.250000	-94.906532
23953.125000	-97.002899
